Time_Stamp,args,Desc_Orig,Desc_AfterPreProcess,TgtSmry_Original,TgtSmry_AfterPreProcess,Model_Info,Description_Length,Prediction_Length,Prediction_Summary,Rouge_Scores,Data Loading and Preprocessing Duration (s),Model Loading Duration (s),Model Inference Duration (s),Total Inference Duration (s)
23:51:43 on 2021/06/01,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_20500.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_20500.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 20500 and metric value is 0.384",96,25,double storage and invention provides individuals useful to valuable packaging both catch periodically convenient that can be used to valuable found at their structures which,"[{'rouge-1': {'f': 0.055555551311728714, 'p': 0.04, 'r': 0.09090909090909091}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0588235250346024, 'p': 0.043478260869565216, 'r': 0.09090909090909091}}]",0.053,2.648,0.137,2.861
23:53:03 on 2021/06/01,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_20500.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_20500.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 20500 and metric value is 0.384",96,25,double storage and invention provides individuals useful to valuable packaging both catch periodically convenient that can be used to valuable found at their structures which,"[{'rouge-1': {'f': 0.055555551311728714, 'p': 0.04, 'r': 0.09090909090909091}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0588235250346024, 'p': 0.043478260869565216, 'r': 0.09090909090909091}}]",0.049,2.619,0.139,2.831
00:34:16 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_20500.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_20500.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 20500 and metric value is 0.384",96,25,double storage and invention provides individuals useful to valuable packaging both catch periodically convenient that can be used to valuable found at their structures which,"[{'rouge-1': {'f': 0.055555551311728714, 'p': 0.04, 'r': 0.09090909090909091}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0588235250346024, 'p': 0.043478260869565216, 'r': 0.09090909090909091}}]",0.049,2.648,0.132,2.86
01:02:07 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_20500.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_20500.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 20500 and metric value is 0.384",96,25,double storage and invention provides individuals useful to valuable packaging both catch periodically convenient that can be used to valuable found at their structures which,"[{'rouge-1': {'f': 0.055555551311728714, 'p': 0.04, 'r': 0.09090909090909091}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0588235250346024, 'p': 0.043478260869565216, 'r': 0.09090909090909091}}]",0.049,2.585,0.131,2.796
01:03:36 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.048,2.593,0.179,2.842
02:36:38 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.048,2.552,0.176,2.799
02:37:30 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.05,2.575,0.185,2.833
02:54:15 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.049,2.564,0.181,2.824
14:36:08 on 2021/06/02,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.247,5.151,0.297,5.726
14:55:57 on 2021/06/03,"Namespace(beamSize=0, configPath='./config.yaml', decNumLayers=4, dropout=0.0, hiddenDim=128, inputTextFile='inferenceData.json', loadModelName='MODEL7_step_2100.pth.tar', modelType='Seq2SeqwithXfmrMemEfficient', numHeads=4, numLayers=2)",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7_step_2100.pth.tar model for Seq2SeqwithXfmrMemEfficient, which is from step 2100 and metric value is 0.312",96,37,"modular --oov-- useful useful useful useful useful useful useful useful useful as needed also described safe for its own , water traditional techniques for resisting the meaning a comprising an array of --oov-- , varied ; wherein","[{'rouge-1': {'f': 0.08333332980034738, 'p': 0.05405405405405406, 'r': 0.18181818181818182}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.10810810392987599, 'p': 0.07692307692307693, 'r': 0.18181818181818182}}]",0.068,2.959,0.284,3.34
